@relation merge_avg_avg1-weka.filters.unsupervised.attribute.Remove-R1

@attribute R_FG {'Toronto Raptors','Brooklyn Nets','Charlotte Bobcats','Minnesota Timberwolves','Orlando Magic','Phoenix Suns','Los Angeles Lakers','Detroit Pistons','Atlanta Hawks','Milwaukee Bucks','Portland Trail Blazers','Boston Celtics','Sacramento Kings','Denver Nuggets','Chicago Bulls','Cleveland Cavaliers','New York Knicks','Oklahoma City Thunder','Miami Heat','Memphis Grizzlies','Indiana Pacers','Los Angeles Clippers','Washington Wizards','San Antonio Spurs','Golden State Warriors','Utah Jazz','Dallas Mavericks','New Orleans Hornets','Houston Rockets','Philadelphia 76ers'}
@attribute avg_R_FG numeric
@attribute avg_R_FGA numeric
@attribute avg_R_FGP numeric
@attribute avg_R_3P numeric
@attribute avg_R_3PA numeric
@attribute avg_R_3PP numeric
@attribute avg_R_FT numeric
@attribute avg_R_FTA numeric
@attribute avg_R_FTP numeric
@attribute avg_R_ORB numeric
@attribute avg_R_DRB numeric
@attribute avg_R_TRB numeric
@attribute avg_R_AST numeric
@attribute avg_R_STL numeric
@attribute avg_R_BLK numeric
@attribute avg_R_TOV numeric
@attribute avg_R_PF numeric
@attribute avg_R_PTS numeric
@attribute avg_R_HOME numeric
@attribute avg_R_WIN numeric
@attribute avg1_R_FG numeric
@attribute avg1_R_FGA numeric
@attribute avg1_R_FGP numeric
@attribute avg1_R_3P numeric
@attribute avg1_R_3PA numeric
@attribute avg1_R_3PP numeric
@attribute avg1_R_FT numeric
@attribute avg1_R_FTA numeric
@attribute avg1_R_FTP numeric
@attribute avg1_R_ORB numeric
@attribute avg1_R_DRB numeric
@attribute avg1_R_TRB numeric
@attribute avg1_R_AST numeric
@attribute avg1_R_STL numeric
@attribute avg1_R_BLK numeric
@attribute avg1_R_TOV numeric
@attribute avg1_R_PF numeric
@attribute avg1_R_PTS numeric
@attribute avg1_R_HOME numeric
@attribute avg1_R_WIN numeric
@attribute H_TEAM {'Sacramento Kings','Boston Celtics','Golden State Warriors','Washington Wizards','Minnesota Timberwolves','Los Angeles Clippers','Houston Rockets','Brooklyn Nets','Los Angeles Lakers','San Antonio Spurs','Orlando Magic','Miami Heat','Cleveland Cavaliers','New Orleans Hornets','Charlotte Bobcats','Indiana Pacers','Atlanta Hawks','Chicago Bulls','Philadelphia 76ers','Phoenix Suns','Milwaukee Bucks','Utah Jazz','Oklahoma City Thunder','Memphis Grizzlies','Toronto Raptors','New York Knicks','Portland Trail Blazers','Detroit Pistons','Denver Nuggets','Dallas Mavericks'}
@attribute avg_H_FG numeric
@attribute avg_H_FGA numeric
@attribute avg_H_FGP numeric
@attribute avg_H_3P numeric
@attribute avg_H_3PA numeric
@attribute avg_H_3PP numeric
@attribute avg_H_FT numeric
@attribute avg_H_FTA numeric
@attribute avg_H_FTP numeric
@attribute avg_H_ORB numeric
@attribute avg_H_DRB numeric
@attribute avg_H_TRB numeric
@attribute avg_H_AST numeric
@attribute avg_H_STL numeric
@attribute avg_H_BLK numeric
@attribute avg_H_TOV numeric
@attribute avg_H_PF numeric
@attribute avg_H_PTS numeric
@attribute avg_H_HOME numeric
@attribute avg_H_WIN numeric
@attribute avg1_H_FG numeric
@attribute avg1_H_FGA numeric
@attribute avg1_H_FGP numeric
@attribute avg1_H_3P numeric
@attribute avg1_H_3PA numeric
@attribute avg1_H_3PP numeric
@attribute avg1_H_FT numeric
@attribute avg1_H_FTA numeric
@attribute avg1_H_FTP numeric
@attribute avg1_H_ORB numeric
@attribute avg1_H_DRB numeric
@attribute avg1_H_TRB numeric
@attribute avg1_H_AST numeric
@attribute avg1_H_STL numeric
@attribute avg1_H_BLK numeric
@attribute avg1_H_TOV numeric
@attribute avg1_H_PF numeric
@attribute avg1_H_PTS numeric
@attribute avg1_H_HOME numeric
@attribute avg1_H_WIN numeric
@attribute RESULT {0,1}

@data
'Los Angeles Lakers',35.666667,77.083333,0.462703,7.416667,21.083333,0.351779,21,31.25,0.672,12.916667,32.416667,45.333333,21,7.333333,5.666667,16.333333,18.166667,99.75,0.75,0.5,29,65,0.446154,12,26,0.461538,27,39,0.692308,6,27,33,16,6,4,20,22,97,0,0,'Memphis Grizzlies',37.1,84.4,0.439573,5.9,16.3,0.361963,20.1,24.4,0.82377,12.8,29,41.8,21.4,9.4,5.5,13.2,21.2,100.2,0.5,0.8,36,78,0.461538,6,17,0.352941,14,17,0.823529,12,21,33,23,10,4,17,20,92,1,0,1
'Dallas Mavericks',40.166667,82.166667,0.488844,9.666667,21.833333,0.442748,16,21.666667,0.738462,8.666667,34.166667,42.833333,23.333333,7.166667,5.166667,14.833333,24.333333,106,0.5,0.666667,33,81,0.407407,8,28,0.285714,20,23,0.869565,9,41,50,17,4,3,20,28,94,0,0,'Charlotte Bobcats',37,86.5,0.427746,6.75,19.75,0.341772,18.75,23.25,0.806452,13.75,26,39.75,20,8.5,8,11,18.25,99.5,0.5,0.25,40,83,0.481928,7,21,0.333333,12,18,0.666667,15,26,41,17,7,9,12,17,99,0,0,1
'Chicago Bulls',35.671233,81.863014,0.435743,5.136986,15.013699,0.342153,16.438356,21.178082,0.776197,12.767123,30.616438,43.383562,23.041096,7.287671,5.246575,13.808219,19.39726,92.917808,0.506849,0.547945,35,89,0.393258,5,23,0.217391,11,16,0.6875,12,33,45,21,6,2,7,20,86,0,0,'Brooklyn Nets',35.648649,79.567568,0.44803,7.702703,21.527027,0.357815,17.364865,23.675676,0.733447,12.743243,30.108108,42.851351,20.432432,7.108108,4.797297,14,18.121622,96.364865,0.486486,0.581081,43,76,0.565789,10,21,0.47619,17,22,0.772727,8,36,44,31,6,4,18,20,113,0,1,0
'Boston Celtics',37.067797,80.576271,0.460034,5.830508,16.864407,0.345729,16.372881,20.983051,0.780291,8.423729,31.661017,40.084746,23.254237,8.508475,4.254237,13.813559,21.474576,96.338983,0.508475,0.542373,42,83,0.506024,11,19,0.578947,14,16,0.875,12,37,49,34,7,5,22,16,109,0,1,'Indiana Pacers',35.033333,80.516667,0.435107,6.883333,19.383333,0.355116,17,22.9,0.742358,12.766667,32.95,45.716667,20.45,7.066667,6.633333,14.666667,20.1,93.95,0.516667,0.633333,33,71,0.464789,6,13,0.461538,25,33,0.757576,10,32,42,19,10,6,14,21,97,1,1,0
'Phoenix Suns',37.3,83.8,0.445107,5.7,17.5,0.325714,15.04,19.94,0.754263,11.18,29.46,40.64,21.92,7.8,5.34,13.72,20.48,95.34,0.48,0.34,35,78,0.448718,1,15,0.066667,13,15,0.866667,11,29,40,19,4,4,16,17,84,0,0,'Oklahoma City Thunder',38.040816,79.326531,0.479547,7.55102,19.693878,0.38342,22.530612,27.061224,0.832579,10.428571,32.897959,43.326531,21.979592,8.346939,7.285714,15.102041,20.530612,106.163265,0.510204,0.755102,48,95,0.505263,8,23,0.347826,15,20,0.75,10,40,50,29,12,16,12,12,119,1,1,1
'Boston Celtics',36.945455,80.454545,0.459209,5.781818,16.745455,0.345277,16.418182,21.072727,0.77912,8.527273,31.454545,39.981818,23.254545,8.581818,4.254545,13.727273,21.618182,96.090909,0.527273,0.527273,44,79,0.556962,10,22,0.454545,15,23,0.652174,9,36,45,19,8,6,12,20,113,0,1,'Portland Trail Blazers',36.272727,82.036364,0.442154,8.036364,23.763636,0.338179,16.290909,20.945455,0.777778,11.145455,30.254545,41.4,21.2,7.018182,4.690909,14.509091,18.690909,96.872727,0.472727,0.454545,46,94,0.489362,8,20,0.4,7,12,0.583333,7,35,42,25,9,2,14,28,107,0,0,1
'Denver Nuggets',38.944444,85.277778,0.456678,6.333333,19.055556,0.332362,16.444444,24.555556,0.669683,15.444444,31.222222,46.666667,22,7.722222,6.611111,15.777778,19.611111,100.666667,0.333333,0.5,40,85,0.470588,6,15,0.4,27,43,0.627907,23,30,53,25,11,7,17,20,113,1,1,'Atlanta Hawks',37.285714,81.642857,0.456693,8.428571,22.571429,0.373418,13.214286,19.214286,0.687732,9.642857,29.714286,39.357143,23.428571,9.142857,5.357143,14.571429,18.428571,96.214286,0.571429,0.642857,38,78,0.487179,12,20,0.6,23,32,0.71875,10,18,28,25,12,5,12,18,111,1,0,1
'Portland Trail Blazers',36.833333,81.958333,0.449415,8.319444,23.277778,0.357399,16.069444,20.708333,0.775989,10.972222,30.527778,41.5,21.708333,6.694444,4.638889,14.25,18.541667,98.055556,0.486111,0.458333,33,67,0.492537,6,13,0.461538,23,32,0.71875,6,29,35,22,3,3,16,18,95,1,0,'Golden State Warriors',37.808219,83.082192,0.45507,7.945205,19.90411,0.399174,16.972603,21.452055,0.791188,10.767123,34,44.767123,22.452055,6.794521,4.164384,14.890411,21.465753,100.534247,0.479452,0.561644,41,90,0.455556,5,24,0.208333,11,13,0.846154,13,28,41,30,9,4,14,19,98,1,0,1
'Toronto Raptors',35.933333,84.866667,0.423409,7.266667,20.933333,0.347134,17.733333,23.066667,0.768786,11.4,30,41.4,21.4,7.333333,4.533333,12.666667,23.466667,96.866667,0.4,0.2,42,86,0.488372,8,23,0.347826,9,12,0.75,11,28,39,25,6,2,16,15,101,0,0,'Memphis Grizzlies',36.833333,82.5,0.446465,5.75,15.416667,0.372973,19.916667,24.333333,0.818493,12.583333,28.25,40.833333,21.083333,9.333333,5.25,13.416667,21.083333,99.333333,0.583333,0.833333,33,71,0.464789,4,11,0.363636,14,18,0.777778,10,23,33,16,8,5,14,15,84,1,1,1
'San Antonio Spurs',39.72093,81.72093,0.486056,8.72093,22.581395,0.3862,16.209302,20.418605,0.79385,8.209302,33.302326,41.511628,25.232558,8.534884,5.418605,14.581395,17.348837,104.372093,0.465116,0.744186,41,86,0.476744,8,24,0.333333,8,11,0.727273,5,34,39,21,8,4,8,15,98,0,1,'Philadelphia 76ers',37.05,83.8,0.442124,6.5,18.2,0.357143,12.55,17.375,0.722302,10.8,30.3,41.1,22,7.4,5.125,12.375,18.925,93.15,0.5,0.425,47,91,0.516484,4,19,0.210526,10,14,0.714286,10,29,39,30,6,6,11,19,108,1,1,0
'Indiana Pacers',35.092308,80.707692,0.434807,7.092308,19.815385,0.357919,16.938462,22.769231,0.743919,12.815385,32.938462,45.753846,20.384615,7.076923,6.630769,14.615385,20.2,94.215385,0.523077,0.615385,37,99,0.373737,12,27,0.444444,7,9,0.777778,17,37,54,17,6,6,16,26,93,1,0,'Philadelphia 76ers',37.09375,83.921875,0.442003,6.25,17.421875,0.358744,11.984375,16.71875,0.716822,10.8125,30.53125,41.34375,22.671875,7.328125,4.71875,12.5,18.71875,92.421875,0.546875,0.375,40,85,0.470588,7,18,0.388889,7,12,0.583333,13,27,40,29,10,3,12,22,94,1,0,1
'New Orleans Hornets',36.384615,80.523077,0.451853,6.769231,18.230769,0.371308,14.923077,19.307692,0.772908,11.507692,29.753846,41.261538,21.384615,6.261538,5.630769,13.476923,20.353846,94.461538,0.492308,0.338462,40,78,0.512821,5,16,0.3125,13,15,0.866667,11,20,31,23,6,9,13,25,98,0,0,'Washington Wizards',35.222222,81.761905,0.43079,6.555556,18.380952,0.356649,14.936508,20.333333,0.734582,10.761905,32.761905,43.52381,21.825397,7.31746,4.666667,15.031746,20.650794,91.936508,0.52381,0.333333,43,86,0.5,8,16,0.5,12,24,0.5,13,35,48,25,8,0,13,17,106,1,1,1
'Washington Wizards',35.402597,81.649351,0.433593,6.675325,18.337662,0.364023,15.61039,21.25974,0.73427,10.857143,32.506494,43.363636,21.766234,7.207792,4.558442,14.623377,20.701299,93.090909,0.506494,0.376623,39,88,0.443182,10,26,0.384615,8,12,0.666667,12,24,36,23,8,6,16,17,96,0,0,'New York Knicks',36.328947,81.236842,0.447198,10.75,28.75,0.373913,16.342105,21.526316,0.759169,10.986842,29.592105,40.578947,19.171053,8.263158,3.618421,11.631579,20.026316,99.75,0.5,0.657895,46,93,0.494624,15,34,0.441176,18,24,0.75,19,22,41,22,5,4,6,19,125,0,1,1
'Dallas Mavericks',38.581081,83.783784,0.460484,7.459459,20.013514,0.372721,16.513514,20.864865,0.791451,9.22973,32.513514,41.743243,23.013514,7.945946,5.472973,13.648649,20.932432,101.135135,0.5,0.486486,34,81,0.419753,7,19,0.368421,6,12,0.5,8,29,37,23,11,6,13,24,81,0,0,'Denver Nuggets',40.546667,84.76,0.47837,6.293333,18.466667,0.340794,18.32,26.16,0.700306,13.2,31.426667,44.626667,24.173333,9.24,6.533333,14.64,20.64,105.706667,0.48,0.68,41,73,0.561644,7,18,0.388889,24,32,0.75,8,34,42,22,7,8,14,19,113,0,1,1
'Milwaukee Bucks',37.135135,85.918919,0.432211,6.081081,18.081081,0.336323,15.945946,21.378378,0.745891,12.810811,30.648649,43.459459,21.702703,8.513514,7.621622,13.891892,19.216216,96.297297,0.513514,0.513514,34,95,0.357895,7,28,0.25,13,22,0.590909,21,33,54,15,4,4,11,14,88,0,0,'Phoenix Suns',37.5,84.325,0.444708,6.075,18.25,0.332877,14.325,19.3,0.742228,11.45,29.125,40.575,21.875,7.625,5.825,13.475,20.525,95.4,0.5,0.325,35,84,0.416667,9,25,0.36,11,18,0.611111,14,34,48,18,3,7,14,20,90,1,0,0
'Brooklyn Nets',35.375,80.25,0.44081,7.708333,22.25,0.346442,17.208333,23.416667,0.734875,12.458333,29.208333,41.666667,21.041667,6.958333,5.041667,13.458333,18.916667,95.666667,0.583333,0.541667,33,77,0.428571,7,17,0.411765,17,22,0.772727,12,26,38,16,8,3,13,19,90,1,0,'New York Knicks',37.458333,83.333333,0.4495,11.916667,29.458333,0.404526,16.083333,21.458333,0.749515,10.333333,29.333333,39.666667,20.208333,8.75,3.75,10.541667,18.791667,102.916667,0.458333,0.75,39,90,0.433333,9,31,0.290323,9,16,0.5625,13,32,45,15,8,2,17,18,96,1,0,1
'Portland Trail Blazers',36.8,82,0.44878,8.25,23.3875,0.352753,16.025,20.6375,0.776499,10.7875,30.125,40.9125,21.85,6.625,4.35,14.2125,18.6125,97.875,0.5,0.4125,38,82,0.463415,12,32,0.375,21,26,0.807692,12,25,37,26,5,3,21,21,109,0,0,'Los Angeles Clippers',38.4875,80.5125,0.478031,7.6,21.2625,0.357437,16.475,23.1875,0.710512,11.4125,30.0625,41.475,23.7875,9.6125,5.675,13.8125,21.05,101.05,0.5,0.675,37,80,0.4625,6,16,0.375,11,18,0.611111,12,33,45,18,9,8,7,20,91,0,1,1
'Boston Celtics',37.05,79.6875,0.464941,6.1375,17.1625,0.357611,16.3625,21.0625,0.776855,8.0625,31.3,39.3625,22.8,8.25,4.5375,13.9125,21.1875,96.6,0.5,0.5125,48,81,0.592593,10,16,0.625,14,19,0.736842,7,31,38,27,10,4,13,15,120,0,1,'Toronto Raptors',36.283951,81.54321,0.444966,6.901235,20.296296,0.340024,17.530864,22.259259,0.787576,10.641975,29.493827,40.135802,21.469136,7.283951,4.777778,13.271605,22.493827,97,0.493827,0.407407,40,78,0.512821,10,27,0.37037,23,27,0.851852,10,37,47,24,7,10,18,20,113,0,1,1
'Charlotte Bobcats',34.24359,81.333333,0.421028,5.653846,17.025641,0.332078,18.961538,25.320513,0.748861,11.358974,28.948718,40.307692,19.012821,7.217949,5.884615,12.974359,19.192308,93.102564,0.487179,0.230769,30,80,0.375,2,14,0.142857,13,18,0.722222,11,33,44,13,2,6,10,17,75,0,0,'Detroit Pistons',36.177215,80.936709,0.446982,6.21519,17.518987,0.354769,15.822785,22.734177,0.695991,12.075949,30.037975,42.113924,21.151899,6.835443,4.924051,14.367089,19.721519,94.392405,0.493671,0.341772,40,80,0.5,4,16,0.25,27,42,0.642857,5,28,33,20,6,1,5,20,111,0,1,1
'New Orleans Hornets',36.171053,80.171053,0.451173,6.592105,18.013158,0.365961,15.065789,19.421053,0.775745,11.684211,29.578947,41.263158,21.131579,6.421053,5.513158,13.618421,20.447368,94,0.513158,0.342105,32,77,0.415584,2,12,0.166667,17,20,0.85,13,27,40,13,7,5,16,20,83,0,0,'Phoenix Suns',37.210526,84.078947,0.442567,5.671053,17.460526,0.324793,14.684211,19.855263,0.739563,11.723684,29.868421,41.592105,22.368421,7.973684,5.223684,14.868421,20.631579,94.776316,0.513158,0.302632,44,72,0.611111,5,14,0.357143,14,17,0.823529,7,29,36,19,6,5,22,17,107,1,0,0
'Oklahoma City Thunder',37.611111,78.5,0.479122,7.666667,19.361111,0.395983,22.805556,27.138889,0.840328,10.527778,32.833333,43.361111,21.916667,8.138889,7.25,15.055556,20.277778,105.694444,0.583333,0.777778,44,87,0.505747,9,29,0.310345,19,28,0.678571,12,41,53,28,8,6,17,22,116,0,1,'Portland Trail Blazers',36.25,83.111111,0.436163,8.388889,24.416667,0.343572,16.25,21.166667,0.767717,12.027778,29.666667,41.694444,20.694444,7.722222,4.805556,14.083333,18.861111,97.138889,0.472222,0.555556,35,92,0.380435,15,43,0.348837,12,19,0.631579,17,35,52,18,5,3,13,14,97,0,0,0
'Philadelphia 76ers',33.6,83.2,0.403846,6.8,19.8,0.343434,13.8,17,0.811765,12,32.6,44.6,19.4,8.2,5.6,15.4,17.8,87.8,0.4,0.6,40,82,0.487805,7,13,0.538462,19,23,0.826087,8,30,38,27,12,7,16,22,106,0,1,'Toronto Raptors',35.2,85.6,0.411215,7,21.6,0.324074,19.6,23.4,0.837607,11.8,26.8,38.6,19.2,9.4,3.8,12,25,97,0.4,0.2,36,81,0.444444,5,22,0.227273,27,31,0.870968,10,28,38,21,7,1,8,28,104,0,0,0
'Indiana Pacers',35.086207,80.862069,0.433902,6.896552,19.482759,0.353982,16.844828,22.741379,0.740713,12.862069,32.965517,45.827586,20.482759,7.017241,6.689655,14.603448,20.017241,93.913793,0.517241,0.62069,32,75,0.426667,9,25,0.36,18,25,0.72,14,26,40,18,6,4,20,22,91,1,0,'Toronto Raptors',36.12069,81.827586,0.441424,7.37931,21.12069,0.349388,17.5,22.396552,0.78137,10.810345,29.103448,39.913793,21.948276,7.327586,4.689655,12.741379,22.775862,97.12069,0.517241,0.396552,35,78,0.448718,2,20,0.1,20,25,0.8,9,29,38,25,3,8,15,25,92,0,0,0
'Denver Nuggets',40.396552,85.241379,0.473908,6.517241,19.137931,0.340541,18.137931,26.224138,0.69165,13.482759,31.689655,45.172414,24.137931,8.862069,6.586207,14.706897,20.706897,105.448276,0.465517,0.62069,49,88,0.556818,5,18,0.277778,16,27,0.592593,13,31,44,30,13,7,9,25,119,1,1,'Portland Trail Blazers',36.25,81.982143,0.442169,8.017857,23.714286,0.338102,16.267857,20.910714,0.777968,11.142857,30.357143,41.5,21.196429,6.964286,4.642857,14.535714,18.642857,96.785714,0.482143,0.464286,35,79,0.443038,7,21,0.333333,15,19,0.789474,11,36,47,21,4,2,16,16,92,1,1,0
'Memphis Grizzlies',36.148936,83.042553,0.435306,4.617021,13.680851,0.337481,16.148936,20.382979,0.792276,13.744681,29.212766,42.957447,20.446809,9.021277,5.170213,14.021277,19.659574,93.06383,0.553191,0.638298,36,82,0.439024,3,9,0.333333,15,17,0.882353,14,20,34,15,7,0,16,20,90,1,0,'Atlanta Hawks',37.06383,80.893617,0.45818,8.808511,23.148936,0.380515,13.425532,19.191489,0.699557,9.617021,30.851064,40.468085,23.574468,8.12766,4.914894,14.553191,18.361702,96.361702,0.510638,0.553191,36,81,0.444444,8,21,0.380952,23,28,0.821429,5,34,39,26,5,3,16,33,103,0,0,1
'Golden State Warriors',37.868421,83.131579,0.455524,7.710526,19.921053,0.387054,16.631579,20.973684,0.792974,11.026316,34.289474,45.315789,22.868421,6.973684,3.973684,15.078947,21.763158,100.078947,0.473684,0.605263,36,84,0.428571,4,16,0.25,12,14,0.857143,7,35,42,23,4,2,9,21,88,0,0,'New Orleans Hornets',35.589744,80,0.444872,6.794872,18.512821,0.367036,14.333333,18.410256,0.778552,11.358974,30.333333,41.692308,20.948718,6.307692,5.307692,13.615385,19.871795,92.307692,0.487179,0.333333,31,71,0.43662,2,17,0.117647,26,31,0.83871,11,37,48,12,5,3,17,21,90,0,1,0
'Phoenix Suns',38.346154,85.192308,0.450113,6.730769,18.884615,0.356415,14.846154,19.692308,0.753906,11.461538,28.576923,40.038462,22.076923,8.115385,6.153846,13.307692,20.615385,98.269231,0.538462,0.423077,47,85,0.552941,17,28,0.607143,10,11,0.909091,10,23,33,31,7,6,11,22,121,1,1,'Portland Trail Blazers',36.083333,83.5,0.432136,8.25,23.833333,0.346154,16.833333,22.083333,0.762264,11.916667,28.708333,40.625,19.625,8.291667,5.125,13.916667,19.875,97.25,0.5,0.5,33,92,0.358696,14,36,0.388889,21,26,0.807692,12,38,50,25,5,7,11,21,101,1,1,1
'Memphis Grizzlies',36.467742,82.177419,0.443768,4.693548,13.612903,0.344787,16.177419,20.870968,0.775116,13.225806,29.516129,42.741935,21.483871,8.758065,5.322581,13.612903,19.854839,93.806452,0.532258,0.693548,39,76,0.513158,3,11,0.272727,21,31,0.677419,9,28,37,31,10,7,11,24,102,0,1,'Los Angeles Clippers',38.569231,80.738462,0.477706,7.476923,20.784615,0.359734,16.523077,23.415385,0.70565,11.384615,30.138462,41.523077,23.707692,9.876923,5.846154,14.046154,20.907692,101.138462,0.492308,0.692308,50,80,0.625,14,28,0.5,15,25,0.6,6,29,35,37,13,4,9,28,129,1,1,0
'New Orleans Hornets',34.6,78.8,0.439086,6.5,17.5,0.371429,17.5,21.6,0.810185,10.7,30.7,41.4,21.4,5.6,5.9,13.2,19.3,93.2,0.6,0.3,39,92,0.423913,6,10,0.6,23,27,0.851852,16,32,48,17,3,7,9,26,107,0,0,'Phoenix Suns',39.083333,88.25,0.442871,5.833333,17.833333,0.327103,15.583333,21.083333,0.73913,13.333333,29.166667,42.5,20.833333,8.916667,6.583333,13.166667,21.166667,99.583333,0.583333,0.416667,46,77,0.597403,7,17,0.411765,15,18,0.833333,7,28,35,22,12,3,13,18,114,1,1,1
'Phoenix Suns',37.372093,84.255814,0.443555,6,18.116279,0.331194,14.813953,19.860465,0.745902,11.302326,29.162791,40.465116,21.930233,7.883721,5.697674,13.511628,20.651163,95.55814,0.511628,0.348837,30,71,0.422535,5,16,0.3125,28,37,0.756757,8,35,43,18,7,4,14,23,93,1,1,'San Antonio Spurs',39.73913,81.826087,0.485654,8.586957,22.543478,0.380906,16.217391,20.673913,0.784437,8.173913,33.5,41.673913,25.326087,8.586957,5.217391,14.434783,17.282609,104.282609,0.456522,0.76087,43,89,0.483146,9,23,0.391304,18,24,0.75,8,38,46,29,11,1,15,17,113,0,1,1
'Milwaukee Bucks',38.149254,87.104478,0.437971,6.910448,19.134328,0.361154,15.80597,21.313433,0.741597,12.701493,30.985075,43.686567,22.940299,8.343284,7.104478,13.701493,19.149254,99.014925,0.507463,0.507463,37,99,0.373737,8,19,0.421053,8,11,0.727273,16,30,46,20,7,8,10,17,90,0,0,'Indiana Pacers',35.117647,81.014706,0.433472,7.073529,19.838235,0.35656,17.117647,22.852941,0.749035,12.955882,33.235294,46.191176,20.544118,7.014706,6.602941,14.588235,20.147059,94.426471,0.514706,0.617647,34,87,0.390805,6,23,0.26087,21,24,0.875,15,48,63,18,4,6,15,21,95,1,1,1
'Cleveland Cavaliers',36.527027,84.135135,0.434147,6.851351,19.621622,0.349174,16.932432,22.418919,0.755274,12.148649,28.351351,40.5,20.702703,8.081081,3.891892,13.418919,21.189189,96.837838,0.5,0.297297,34,89,0.382022,4,14,0.285714,23,26,0.884615,13,23,36,18,8,4,11,17,95,1,0,'Boston Celtics',36.786667,79.493333,0.462764,6.12,17.133333,0.357198,16.52,21.24,0.777778,8.04,31.426667,39.466667,22.84,8.253333,4.626667,14,21.306667,96.213333,0.493333,0.52,36,71,0.507042,7,20,0.35,19,22,0.863636,4,30,34,20,7,9,15,26,98,1,1,0
'San Antonio Spurs',37.2,78.6,0.473282,6.8,18.6,0.365591,14.8,20.4,0.72549,8,29.8,37.8,25.6,8.8,4.8,14.8,17.6,96,0.6,0.8,30,73,0.410959,8,23,0.347826,16,24,0.666667,6,23,29,25,7,4,20,11,84,0,0,'Sacramento Kings',36,87.6,0.410959,5.6,18,0.311111,15.2,19.8,0.767677,12.4,30.6,43,15.6,9.4,6,14.4,27,92.8,0.4,0.4,40,82,0.487805,7,16,0.4375,18,24,0.75,14,28,42,15,8,3,13,21,105,1,1,0
'Golden State Warriors',37.656716,82.985075,0.453777,7.850746,19.835821,0.395786,17.38806,21.985075,0.790903,10.895522,33.940299,44.835821,22.358209,6.820896,4.104478,14.910448,21.641791,100.552239,0.477612,0.552239,34,76,0.447368,3,14,0.214286,24,30,0.8,7,27,34,16,8,7,12,17,95,1,0,'Houston Rockets',38.454545,82.681818,0.465091,10.833333,28.969697,0.373954,19.151515,25.424242,0.753278,10.833333,32.045455,42.878788,23.515152,8.530303,3.924242,15.833333,20,106.893939,0.469697,0.545455,36,74,0.486486,11,31,0.354839,25,31,0.806452,12,32,44,25,7,2,18,20,108,1,1,0
'Atlanta Hawks',37.083333,81.25,0.45641,8.861111,23.472222,0.377515,13.444444,19.138889,0.702467,9.666667,30.916667,40.583333,23.166667,8.555556,5.027778,14.111111,17.527778,96.472222,0.5,0.583333,30,78,0.384615,7,24,0.291667,16,25,0.64,6,32,38,23,8,4,16,20,83,0,0,'Chicago Bulls',35.485714,80.685714,0.439802,4.628571,12.914286,0.358407,17.885714,22.628571,0.790404,12.285714,30.885714,43.171429,22.942857,7.457143,5.057143,14.371429,19.4,93.485714,0.571429,0.571429,32,88,0.363636,2,11,0.181818,15,21,0.714286,18,24,42,18,6,6,10,18,81,1,0,1
'Denver Nuggets',40.178571,85.232143,0.471402,6.535714,19.160714,0.3411,18.178571,26.285714,0.691576,13.535714,31.75,45.285714,23.928571,8.75,6.517857,14.767857,20.5,105.071429,0.464286,0.607143,39,81,0.481481,4,22,0.181818,31,37,0.837838,8,28,36,27,11,5,11,24,113,0,0,'Charlotte Bobcats',34.272727,81.654545,0.419728,5.818182,16.672727,0.348964,19.381818,25.927273,0.747546,11.545455,29.690909,41.236364,18.890909,7.054545,6.309091,12.981818,19.418182,93.745455,0.509091,0.236364,25,75,0.333333,4,16,0.25,21,35,0.6,15,30,45,13,2,6,12,17,75,1,0,0
'Chicago Bulls',35.670886,81.810127,0.43602,5.303797,15.240506,0.348007,16.405063,21.202532,0.773731,12.594937,30.632911,43.227848,22.924051,7.21519,5.189873,13.632911,19.493671,93.050633,0.506329,0.544304,34,77,0.441558,9,18,0.5,11,14,0.785714,10,29,39,22,6,1,16,24,88,0,0,'Miami Heat',38.443038,77.64557,0.495109,8.683544,21.962025,0.395389,17.341772,22.78481,0.761111,8.303797,30.21519,38.518987,22.924051,8.78481,5.227848,13.227848,18.594937,102.911392,0.493671,0.797468,39,71,0.549296,12,23,0.521739,19,28,0.678571,5,32,37,28,6,5,14,14,109,1,1,1
'Boston Celtics',36.897436,79.769231,0.462552,5.461538,16.128205,0.338633,15.897436,20.512821,0.775,8.435897,30.358974,38.794872,23.051282,8.74359,4.051282,13.666667,21.205128,95.153846,0.538462,0.512821,38,91,0.417582,3,14,0.214286,20,28,0.714286,11,31,42,15,10,3,11,28,99,1,0,'Detroit Pistons',35.923077,80.871795,0.444198,6.307692,16.897436,0.373293,16.666667,23.512821,0.708833,12.487179,30.923077,43.410256,20.307692,6.179487,5.666667,14.461538,19.948718,94.820513,0.538462,0.358974,35,79,0.443038,6,17,0.352941,11,22,0.5,11,25,36,22,7,4,15,21,87,1,0,1
